"","In","Out","Denoised FW","Denoised RE","Merged","Sizeout","Chimera Filtered","Final_Clean_Of_Rare_Seq_and_Plastids","Archea_out"
"Run20200122Order306Sample145_S137_L001_.2019.trimmed_cutadapt_1.fq",72255,50882,47049,47973,32510,32502,28429,21481,21481
"Run20200122Order306Sample146_S138_L001_.2019.trimmed_cutadapt_1.fq",52585,37740,35384,35544,24813,24811,23009,19393,19393
"Run20200122Order306Sample147_S139_L001_.2019.trimmed_cutadapt_1.fq",60129,44291,41852,42087,30763,30757,28551,24637,24637
"Run20200122Order306Sample148_S140_L001_.2019.trimmed_cutadapt_1.fq",62897,45386,43213,43254,34601,34599,33304,29460,29460
"Run20200122Order306Sample149_S141_L001_.2019.trimmed_cutadapt_1.fq",69919,52211,50199,50301,40936,40930,39043,34939,34939
"Run20200122Order306Sample150_S142_L001_.2019.trimmed_cutadapt_1.fq",54839,38930,36756,36835,27410,27410,26008,22604,22604
"Run20200122Order306Sample151_S143_L001_.2019.trimmed_cutadapt_1.fq",69792,50512,47448,48036,34384,34378,31130,25477,25477
"Run20200122Order306Sample152_S144_L001_.2019.trimmed_cutadapt_1.fq",80847,58990,55447,55941,39859,39850,36195,31535,31535
"Run20200220Order306Sample153_S137_L001_.2019.trimmed_cutadapt_1.fq",91688,68194,61905,63427,40361,40361,35803,25548,25548
"Run20200220Order306Sample154_S138_L001_.2019.trimmed_cutadapt_1.fq",68748,54193,51877,51805,46058,46056,44325,34721,34721
"Run20200220Order306Sample155_S139_L001_.2019.trimmed_cutadapt_1.fq",55282,46230,42997,43243,32135,32131,29992,23548,23548
"Run20200220Order306Sample156_S140_L001_.2019.trimmed_cutadapt_1.fq",107202,84816,82163,82083,74522,74522,72420,64335,64335
"Run20200220Order306Sample157_S141_L001_.2019.trimmed_cutadapt_1.fq",81821,69261,66326,66630,57018,57016,55114,47873,47873
"Run20200220Order306Sample158_S142_L001_.2019.trimmed_cutadapt_1.fq",77610,62964,60199,60201,51425,51415,49450,37793,37793
"Run20200220Order306Sample159_S143_L001_.2019.trimmed_cutadapt_1.fq",81023,66309,62546,62794,49722,49712,47138,35404,35404
