"","p","d","Phylum","adj"
"1",1.00369493974253e-54,0.769883679347816,"Proteobacteria",3.0110848192276e-54
"2",0.896449181096488,0.0748136054043216,"Actinobacteriota",0.896449181096488
"3",9.93731343896682e-13,-1.7182204204434,"Firmicutes",1.49059701584502e-12
